:ID,pr3:double,pr1:double,pr2:double,name,pr0:double,:LABEL
78608,0.004049160417829474,0.005307036515313487,0.006139133467914724,DNP,0.004560950486230383,Noun
78609,3.2734040166699965E-5,7.323662546457411E-5,1.293181710767176E-4,トーハン桶川センター,6.985779621070316E-5,Noun
78610,3.2065998530644866E-5,7.1742000455093E-5,1.2667902472821314E-4,読者,6.843212690028065E-5,Noun
78611,3.139795689458977E-5,7.024737544561189E-5,1.240398783797087E-4,書籍製造,6.700645758985814E-5,Noun
78612,3.072991525853467E-5,6.875275043613078E-5,1.2140073203120425E-4,書籍製造ライン,6.558078827943561E-5,Noun
78613,5.918795484606516E-5,1.0262894095048752E-4,1.6650485176638913E-4,製造ライン,1.181755622813503E-4,Noun
78614,3.142289314801466E-5,6.863590170250767E-5,1.2194393621361623E-4,書籍,6.538514483772828E-5,Noun
78615,6.419816418974996E-5,9.897222443930656E-5,1.592441899992176E-4,需要,1.0925378703231128E-4,Noun
78616,2.8057748714314257E-5,6.277425039820637E-5,1.1084414663718651E-4,トーハン,5.9878111037745565E-5,Noun
78617,2.7389707078259162E-5,6.127962538872527E-5,1.0820500028868207E-4,株式会社トーハン,5.845244172732304E-5,Noun
78618,4.4963345534773723E-4,7.915264539833274E-4,0.0086616868523267,出版,9.856847312037073E-4,Noun
78619,1.9968543399929474E-4,6.921300449678773E-4,5.392895108090174E-4,導入,5.282108349912604E-4,Noun
78620,2.5385582170093855E-5,5.679575036028196E-5,1.0028756124316873E-4,桶川書籍デジタル製造ライン,5.41754337960555E-5,Noun
78621,3.6224075099472564E-5,8.081428477236058E-5,2.1217756122217927E-4,埼玉県,8.320154038409564E-5,Noun
78622,2.404949889798365E-5,5.380650034131974E-5,9.500926854615985E-5,トーハン トーハン桶川センター,5.132409517521048E-5,Noun
78623,4.944127551474088E-4,0.007798692320298467,0.0015033674131528592,こと,0.0014487749048090425,Noun
78624,4.681776635664274E-4,8.54027885611273E-4,0.0012498424062350908,社長,0.0010602216994028365,Noun
78625,2.204537398981835E-5,4.932262531287643E-5,8.709182950064654E-5,久喜工場,4.7047087243942944E-5,Noun
78626,8.0542771629765E-4,9.381213870332489E-4,0.001563075872182195,東京 代表取締役,0.0012933335454697607,Noun
78627,2.0709290717708144E-5,4.633337529391424E-5,8.181353680363767E-5,電子出版・教育 印刷・加工 マーケティング・セールスプロモーション DX コラボレーション コンテンツビジネス 環境 大日本印刷株式会社 株式会社トーハン 大日本印刷株式会社,4.419574862309791E-5,Noun
78628,2.004124908165304E-5,4.483875028443312E-5,7.917439045513323E-5,書店,4.2770079312675404E-5,Noun
78629,1.937320744559794E-5,4.334412527495202E-5,7.653524410662878E-5,商品供給,4.134441000225289E-5,Noun
78630,1.870516580954284E-5,4.184950026547091E-5,7.389609775812433E-5,販売機会,3.991874069183037E-5,Noun
78631,1.8037124173487736E-5,4.035487525598981E-5,7.12569514096199E-5,出版社,3.8493071381407864E-5,Noun
78632,2.1846635728519018E-4,5.382471324721896E-4,8.149782002412181E-4,製造,0.004052767966549928,Noun
78633,8.886952077671988E-5,9.840592581636028E-5,1.644194985376591E-4,国内,9.40891813033642E-5,Noun
78634,0.011696157339578992,0.008788582180358195,0.008016219021178361,以下,0.007472636798832261,Noun
78635,0.001672231379307275,0.0024338271362159248,0.007186393059312728,サービス,0.003112338068865126,Noun
78636,0.0012706171772039626,0.004875250659269879,0.0073495445733912325,本社,0.0075239560871237275,Noun
78637,1.2692791085046928E-5,2.839787518014098E-5,5.0143780621584365E-5,協議,2.708771689802775E-5,Noun
78638,1.8580153803531653E-5,3.5232265467339027E-5,6.119078345444244E-5,強化 ニュースリリース 製品,3.457268460900162E-5,Noun
78639,7.302366466298383E-4,9.100344588003089E-4,0.0013935814248720699,北島義斉,0.001223630260646959,Noun
78640,1.002062454082652E-5,2.241937514221656E-5,3.9587195227566615E-5,近藤敏貴,2.1385039656337702E-5,Noun
78641,9.35258290477142E-6,2.0924750132735457E-5,3.694804887906217E-5,返品率,1.9959370345915186E-5,Noun
78642,8.684541268716319E-6,1.9430125123254357E-5,3.4308902530557726E-5,増大,1.8533701035492674E-5,Noun
78643,8.016499632661217E-6,1.793550011377325E-5,3.1669756182053285E-5,デジタル印刷,1.710803172507016E-5,Noun
78644,3.836314821856189E-4,2.756456570204677E-4,4.0039984550234724E-4,コンテンツ,1.8433737139276641E-4,Noun
78645,6.680416360551014E-6,1.494625009481104E-5,2.6391463485044407E-5,欠品,1.4256693104225132E-5,Noun
78646,5.679846075137409E-4,0.0016732282434463626,0.01059946390177846,取り組み,0.001972553895661392,Noun
78647,3.724078235906848E-5,7.975301740294063E-5,7.444906316165237E-5,開始,4.5620871231510906E-5,Noun
78648,4.67629145238571E-6,1.0462375066367728E-5,1.8474024439531084E-5,コンテンツデータ,9.979685172957593E-6,Noun
78649,4.008249816330608E-6,8.967750056886625E-6,1.5834878091026643E-5,取次,8.55401586253508E-6,Noun
78650,3.340208180275507E-6,7.47312504740552E-6,1.3195731742522203E-5,久喜市,7.128346552112566E-6,Noun
78651,6.680416360551014E-7,1.4946250094811037E-6,2.6391463485044406E-6,コンテンツデータバンク構想,1.4256693104225136E-6,Noun
78652,3.443718287122608E-5,4.556006616807817E-5,6.034685904812971E-5,生成,4.8347078983738966E-5,Noun
78653,4.16304757488434E-4,7.327861705404338E-4,9.59475646372431E-4,生活者,5.767420100003362E-4,Noun
78654,3.2328783919926524E-5,4.27706743618693E-5,5.665215339212175E-5,動画,4.538705373983659E-5,Noun
78655,7.408996387619913E-4,0.0011169338336232276,0.0019836887544410113,企業,0.0014147375109145877,Noun
78656,3.022038496862697E-5,3.998128255566044E-5,5.295744773611381E-5,Idomoo,4.2427028495934195E-5,Noun
78657,8.658151150738094E-5,2.4093451415226988E-4,2.2426831868724376E-4,社,1.811377139537132E-4,Noun
78658,2.8814785667760595E-5,3.812168801818786E-5,5.049431063210853E-5,パーソナライズド動画,4.04536783333326E-5,Noun
78659,2.8111986017327417E-5,3.719189074945156E-5,4.926274208010588E-5,next generation video platform,3.946700325203181E-5,Noun
78660,2.3490249927948513E-4,4.1074906419265544E-4,5.075891902197562E-4,情報,4.676008171260685E-4,Noun
78661,1.4640329234959736E-4,2.0598963534134617E-4,2.86391544318542E-4,マーケティング,2.477839985920574E-4,Noun
78662,2.600358706602786E-5,3.44024989432427E-5,4.5568036424097945E-5,パーソナライズド動画サービス,3.6506978008129424E-5,Noun
78663,2.530078741559467E-5,3.3472701674506415E-5,4.4336467872095285E-5,属性,3.552030292682863E-5,Noun
78664,5.1052382046361E-5,6.609717952291876E-5,8.737981757681443E-5,セキュリティ,6.691606806280788E-5,Noun
78665,2.38951881147283E-5,3.1613107137033834E-5,4.187333076809E-5,個人データ,3.354695276422704E-5,Noun
