:START_ID,:END_ID,:TYPE,rank:long,score:double,weight:long
78508,78608,CONTAINS,1,0.15035151,50
78508,78609,CONTAINS,2,0.100419626,49
78508,78610,CONTAINS,3,0.078734554,48
78508,78611,CONTAINS,4,0.048014954,47
78508,78612,CONTAINS,5,0.040820446,46
78508,78613,CONTAINS,6,0.040820446,45
78508,78614,CONTAINS,7,0.031723637,44
78508,78615,CONTAINS,8,0.029029742,43
78508,78616,CONTAINS,9,0.028076144,42
78508,78617,CONTAINS,10,0.027064022,41
78508,78618,CONTAINS,11,0.026242636,40
78508,78619,CONTAINS,12,0.025046479,39
78508,78620,CONTAINS,13,0.019703703,38
78508,78621,CONTAINS,14,0.019366251,37
78508,78622,CONTAINS,15,0.019106533,36
78508,78623,CONTAINS,16,0.014715894,35
78508,78624,CONTAINS,17,0.012889457,34
78508,78625,CONTAINS,18,0.012506637,33
78508,78626,CONTAINS,19,0.012506637,32
78508,78627,CONTAINS,20,0.011884674,31
78508,78628,CONTAINS,21,0.011315881,30
78508,78629,CONTAINS,22,0.010333758,29
78508,78630,CONTAINS,23,0.008361502,28
78508,78631,CONTAINS,24,0.008247548,27
78508,78632,CONTAINS,25,0.00766127,26
78508,78633,CONTAINS,26,0.0076407623,25
78508,78634,CONTAINS,29,0.006589723,22
78508,78635,CONTAINS,30,0.006589723,21
78508,78636,CONTAINS,31,0.0052093086,20
78508,78637,CONTAINS,32,0.0052093086,19
78508,78638,CONTAINS,34,0.0052093086,17
78508,78639,CONTAINS,35,0.004316964,16
78508,78640,CONTAINS,36,0.004316964,15
78508,78641,CONTAINS,37,0.004014607,14
78508,78642,CONTAINS,38,0.0038152777,13
78508,78643,CONTAINS,39,0.0037418935,12
78508,78644,CONTAINS,40,0.0036785835,11
78508,78645,CONTAINS,41,0.0033912736,10
78508,78646,CONTAINS,42,0.0033182364,9
78508,78647,CONTAINS,43,0.0030990774,8
78508,78648,CONTAINS,44,0.0027023074,7
78508,78649,CONTAINS,45,0.0026113563,6
78508,78650,CONTAINS,46,0.0025621718,5
78508,78651,CONTAINS,50,0.0022657893,1
78509,78608,CONTAINS,1,0.09974369,50
78509,78652,CONTAINS,2,0.099391825,49
78509,78653,CONTAINS,3,0.0799392,48
78509,78635,CONTAINS,4,0.06945782,47
78509,78654,CONTAINS,5,0.06079383,46
78509,78655,CONTAINS,6,0.05790209,45
78509,78656,CONTAINS,8,0.04626303,43
78509,78657,CONTAINS,9,0.04310805,42
78509,78658,CONTAINS,10,0.041318,41
78509,78659,CONTAINS,11,0.032600913,40
78509,78660,CONTAINS,12,0.030812202,39
78509,78661,CONTAINS,13,0.026054926,38
78509,78662,CONTAINS,14,0.021049181,37
78509,78663,CONTAINS,15,0.017502664,36
78509,78664,CONTAINS,16,0.013079598,35
78509,78665,CONTAINS,17,0.012885381,34
78509,78666,CONTAINS,18,0.009595593,33
78509,78619,CONTAINS,19,0.0075961566,32
78509,78667,CONTAINS,20,0.0075961566,31
78509,78668,CONTAINS,21,0.007321673,30
78509,78669,CONTAINS,22,0.00502537,29
78509,78634,CONTAINS,23,0.00502537,28
78509,78670,CONTAINS,24,0.00502537,27
78509,78636,CONTAINS,25,0.00502537,26
78509,78671,CONTAINS,26,0.0046622013,25
78509,78672,CONTAINS,27,0.004396692,24
78509,78673,CONTAINS,29,0.0041691316,22
78509,78639,CONTAINS,30,0.0041681933,21
78509,78626,CONTAINS,31,0.0041681933,20
78509,78674,CONTAINS,32,0.0036021026,19
78509,78675,CONTAINS,33,0.0036021026,18
78509,78624,CONTAINS,34,0.0036021026,17
78509,78676,CONTAINS,36,0.0030663665,15
78509,78677,CONTAINS,37,0.0030023041,14
78509,78678,CONTAINS,38,0.0029958694,13
78509,78679,CONTAINS,39,0.0029831491,12
78509,78680,CONTAINS,40,0.0026050839,11
78509,78681,CONTAINS,41,0.0025634354,10
78509,78682,CONTAINS,43,0.0023416604,8
78509,78683,CONTAINS,45,0.0021621422,6
78509,78684,CONTAINS,46,0.0020878515,5
78509,78685,CONTAINS,48,0.0015919385,3
78509,78686,CONTAINS,49,0.0015645802,2
78509,78687,CONTAINS,50,0.0015384335,1
78510,78608,CONTAINS,1,0.2002796,50
78510,78688,CONTAINS,2,0.12146891,49
78510,78689,CONTAINS,3,0.09200256,48
78510,78690,CONTAINS,4,0.08053022,47
78510,78691,CONTAINS,5,0.041095532,46
78510,78692,CONTAINS,6,0.030600352,45
78510,78693,CONTAINS,7,0.027739959,44
78510,78694,CONTAINS,8,0.024725,43
78510,78695,CONTAINS,9,0.024725,42
78510,78696,CONTAINS,10,0.021531524,41
78510,78697,CONTAINS,11,0.020786732,40
78510,78698,CONTAINS,12,0.016628213,39
78510,78699,CONTAINS,13,0.014461144,38
78510,78700,CONTAINS,14,0.013113299,37
78510,78701,CONTAINS,16,0.012055627,35
78510,78702,CONTAINS,17,0.008393787,34
78510,78703,CONTAINS,18,0.007908356,33
78510,78704,CONTAINS,19,0.0074828407,32
78510,78705,CONTAINS,20,0.0062445574,31
78510,78706,CONTAINS,21,0.006020075,30
78510,78707,CONTAINS,22,0.0059060445,29
78510,78708,CONTAINS,23,0.0059060445,28
78510,78709,CONTAINS,24,0.0056238184,27
78510,78710,CONTAINS,26,0.0050054933,25
78510,78635,CONTAINS,27,0.0049499674,24
78510,78711,CONTAINS,28,0.0048893862,23
78510,78712,CONTAINS,29,0.004818737,22
78510,78713,CONTAINS,30,0.004463994,21
78510,78714,CONTAINS,31,0.0042901603,20
78510,78715,CONTAINS,32,0.0042207595,19
78510,78716,CONTAINS,33,0.0042200782,18
78510,78717,CONTAINS,34,0.0042200782,17
78510,78718,CONTAINS,35,0.0042200782,16
78510,78660,CONTAINS,36,0.0042200782,15
78510,78719,CONTAINS,37,0.0039409436,14
78510,78720,CONTAINS,38,0.0039409436,13
78510,78721,CONTAINS,39,0.00391215,12
78510,78722,CONTAINS,41,0.0033136331,10
78510,78723,CONTAINS,42,0.003257354,9
78510,78724,CONTAINS,43,0.003099621,8
78510,78725,CONTAINS,44,0.002897955,7
78510,78726,CONTAINS,45,0.002808507,6
78510,78727,CONTAINS,46,0.002808507,5
78510,78728,CONTAINS,47,0.002808507,4
78510,78729,CONTAINS,48,0.002808507,3
78510,78730,CONTAINS,49,0.0027770342,2
78511,78731,CONTAINS,1,0.10191414,50
78511,78655,CONTAINS,2,0.08920658,49
78511,78608,CONTAINS,3,0.07728161,48
78511,78732,CONTAINS,4,0.0766767,47
78511,78733,CONTAINS,5,0.06528113,46
78511,78635,CONTAINS,6,0.04400828,45
78511,78734,CONTAINS,7,0.041232344,44
78511,78735,CONTAINS,8,0.030065935,43
78511,78736,CONTAINS,9,0.02914004,42
78511,78737,CONTAINS,10,0.025244413,41
78511,78738,CONTAINS,11,0.023669776,40
78511,78739,CONTAINS,12,0.02206213,39
78511,78740,CONTAINS,13,0.02107574,38
78511,78741,CONTAINS,14,0.020791749,37
78511,78742,CONTAINS,15,0.019503547,36
78511,78743,CONTAINS,16,0.01800663,35
78511,78744,CONTAINS,17,0.01504374,34
78511,78745,CONTAINS,19,0.013792848,32
78511,78746,CONTAINS,20,0.012829503,31
78511,78747,CONTAINS,21,0.01152959,30
78511,78748,CONTAINS,22,0.011368421,29
78511,78749,CONTAINS,23,0.009523672,28
78511,78750,CONTAINS,24,0.009523672,27
78511,78707,CONTAINS,25,0.009523672,26
78511,78751,CONTAINS,26,0.0087458175,25
78511,78752,CONTAINS,27,0.0086778775,24
78511,78638,CONTAINS,28,0.007557953,23
78511,78753,CONTAINS,29,0.0074245078,22
78511,78754,CONTAINS,30,0.006161854,21
78511,78755,CONTAINS,31,0.0054322015,20
78511,78756,CONTAINS,32,0.0054322015,19
78511,78757,CONTAINS,33,0.0054322015,18
78511,78758,CONTAINS,34,0.005000004,17
78511,78717,CONTAINS,35,0.0049514747,16
78511,78759,CONTAINS,36,0.0044408343,15
78511,78760,CONTAINS,37,0.0044188444,14
78511,78761,CONTAINS,38,0.0042264685,13
78511,78762,CONTAINS,39,0.0038166528,12
78511,78763,CONTAINS,40,0.0032381364,11
78511,78764,CONTAINS,42,0.003157783,9
78511,78765,CONTAINS,43,0.003157783,8
78511,78766,CONTAINS,44,0.003157783,7
78511,78767,CONTAINS,45,0.003157783,6
78511,78768,CONTAINS,46,0.00266111,5
78511,78769,CONTAINS,47,0.002642361,4
78511,78770,CONTAINS,48,0.0025042414,3
78511,78771,CONTAINS,49,0.0020708512,2
78512,78772,CONTAINS,1,0.1072785,50
78512,78773,CONTAINS,2,0.106148474,49
78512,78774,CONTAINS,3,0.0551142,48
78512,78636,CONTAINS,4,0.047381695,47
78512,78775,CONTAINS,5,0.03425459,46
78512,78776,CONTAINS,6,0.034059234,45
78512,78777,CONTAINS,8,0.031927977,43
78512,78778,CONTAINS,9,0.029470533,42
78512,78779,CONTAINS,10,0.029041797,41
78512,78780,CONTAINS,11,0.026955903,40
78512,78781,CONTAINS,12,0.025969874,39
78512,78782,CONTAINS,13,0.024080178,38
78512,78783,CONTAINS,14,0.021553108,37
78512,78784,CONTAINS,15,0.019789238,36
78512,78785,CONTAINS,16,0.018204045,35
78512,78786,CONTAINS,17,0.015924228,34
78512,78787,CONTAINS,18,0.015924228,33
78512,78788,CONTAINS,19,0.015924228,32
78512,78789,CONTAINS,20,0.01432915,31
78512,78790,CONTAINS,21,0.012935366,30
78512,78791,CONTAINS,23,0.012759367,28
78512,78792,CONTAINS,24,0.012759367,27
78512,78793,CONTAINS,25,0.012759367,26
78512,78639,CONTAINS,26,0.010667352,25
78512,78626,CONTAINS,27,0.010667352,24
78512,78794,CONTAINS,28,0.010667352,23
78512,78795,CONTAINS,29,0.009348026,22
78512,78624,CONTAINS,30,0.009267379,21
78512,78796,CONTAINS,31,0.008026019,20
78512,78634,CONTAINS,32,0.0074596717,19
78512,78797,CONTAINS,33,0.0071890326,18
78512,78798,CONTAINS,34,0.0056882333,17
78512,78799,CONTAINS,35,0.004972768,16
78512,78800,CONTAINS,36,0.0047504907,15
78512,78801,CONTAINS,37,0.0047265836,14
78512,78802,CONTAINS,38,0.0047265836,13
78512,78803,CONTAINS,39,0.004644589,12
78512,78804,CONTAINS,40,0.0046333577,11
78512,78623,CONTAINS,41,0.0042149248,10
78512,78805,CONTAINS,42,0.004108802,9
78512,78806,CONTAINS,43,0.0037274724,8
78512,78807,CONTAINS,44,0.0037274724,7
78512,78808,CONTAINS,45,0.0037274724,6
78512,78809,CONTAINS,47,0.0026610328,4
78512,78655,CONTAINS,48,0.0026610328,3
78513,78608,CONTAINS,1,0.12259458,50
78513,78810,CONTAINS,2,0.114958726,49
78513,78811,CONTAINS,3,0.09504093,48
78513,78812,CONTAINS,4,0.093262665,47
78513,78813,CONTAINS,5,0.0803447,46
78513,78635,CONTAINS,6,0.054952826,45
78513,78814,CONTAINS,7,0.053444467,44
78513,78815,CONTAINS,8,0.04525916,43
78513,78816,CONTAINS,9,0.03460507,42
78513,78817,CONTAINS,10,0.023861,41
78513,78818,CONTAINS,11,0.018299108,40
78513,78819,CONTAINS,12,0.013620733,39
78513,78820,CONTAINS,13,0.013171042,38
78513,78762,CONTAINS,14,0.011077503,37
78513,78763,CONTAINS,15,0.010528549,36
78513,78821,CONTAINS,16,0.008675476,35
78513,78822,CONTAINS,17,0.0074186577,34
78513,78823,CONTAINS,19,0.007055323,32
78513,78824,CONTAINS,20,0.0070091086,31
78513,78825,CONTAINS,21,0.006247502,30
78513,78826,CONTAINS,22,0.0062018908,29
78513,78827,CONTAINS,23,0.006189321,28
78513,78828,CONTAINS,24,0.006116609,27
78513,78709,CONTAINS,25,0.005391424,26
78513,78829,CONTAINS,26,0.0052920342,25
78513,78830,CONTAINS,27,0.005204788,24
78513,78831,CONTAINS,28,0.004338856,23
78513,78619,CONTAINS,29,0.0041391463,22
78513,78832,CONTAINS,30,0.0039427592,21
78513,78833,CONTAINS,32,0.0030509338,19
78513,78834,CONTAINS,33,0.0029881643,18
78513,78835,CONTAINS,34,0.0027490384,17
78513,78836,CONTAINS,35,0.002602299,16
78513,78837,CONTAINS,38,0.002418081,13
78513,78838,CONTAINS,39,0.002318567,12
78513,78839,CONTAINS,41,0.002205019,10
78513,78840,CONTAINS,44,0.002044068,7
78513,78841,CONTAINS,46,0.002044068,5
78513,78842,CONTAINS,47,0.0020412924,4
78513,78843,CONTAINS,48,0.0020101012,3
78513,78614,CONTAINS,49,0.001954406,2
78513,78844,CONTAINS,50,0.0019302408,1
78514,78608,CONTAINS,1,0.13676798,50
78514,78845,CONTAINS,2,0.08307155,49
78514,78846,CONTAINS,3,0.05881522,48
78514,78847,CONTAINS,4,0.057900347,47
78514,78848,CONTAINS,5,0.056089517,46
78514,78646,CONTAINS,6,0.047466587,45
78514,78849,CONTAINS,7,0.043870293,44
78514,78850,CONTAINS,8,0.037310358,43
78514,78851,CONTAINS,9,0.027400967,42
78514,78852,CONTAINS,10,0.025201846,41
78514,78853,CONTAINS,11,0.023707159,40
78514,78854,CONTAINS,12,0.023271691,39
78514,78855,CONTAINS,13,0.020699574,38
78514,78655,CONTAINS,15,0.017744565,36
78514,78856,CONTAINS,16,0.017744565,35
78514,78857,CONTAINS,17,0.016887609,34
78514,78858,CONTAINS,18,0.016766887,33
78514,78859,CONTAINS,19,0.015040266,32
78514,78860,CONTAINS,20,0.013809442,31
78514,78861,CONTAINS,21,0.013809442,30
78514,78862,CONTAINS,22,0.012190825,29
78514,78863,CONTAINS,23,0.012190825,28
78514,78864,CONTAINS,24,0.01202536,27
78514,78865,CONTAINS,25,0.011873059,26
78514,78866,CONTAINS,26,0.010039525,25
78514,78867,CONTAINS,27,0.009270239,24
78514,78868,CONTAINS,28,0.00891115,23
78514,78869,CONTAINS,29,0.008085148,22
78514,78634,CONTAINS,31,0.007005496,20
78514,78870,CONTAINS,32,0.0060665635,19
78514,78871,CONTAINS,33,0.005881264,18
78514,78872,CONTAINS,34,0.005247236,17
78514,78633,CONTAINS,35,0.005122956,16
78514,78873,CONTAINS,36,0.0049368064,15
78514,78874,CONTAINS,37,0.004701517,14
78514,78875,CONTAINS,38,0.0035595733,13
78514,78876,CONTAINS,39,0.0028878981,12
78514,78667,CONTAINS,40,0.0024909836,11
78514,78877,CONTAINS,41,0.0024909836,10
78514,78878,CONTAINS,42,0.002397228,9
78514,78879,CONTAINS,43,0.0023256005,8
78514,78880,CONTAINS,45,0.0021390887,6
78514,78881,CONTAINS,46,0.002103956,5
78514,78882,CONTAINS,47,0.0020824645,4
78514,78883,CONTAINS,48,0.0020226247,3
78514,78884,CONTAINS,50,0.0019209546,1
78515,78885,CONTAINS,1,0.16666234,50
78515,78608,CONTAINS,2,0.1158297,49
78515,78886,CONTAINS,3,0.10899661,48
78515,78887,CONTAINS,4,0.07180081,47
78515,78888,CONTAINS,5,0.055647895,46
78515,78889,CONTAINS,6,0.048591908,45
78515,78890,CONTAINS,7,0.04043904,44
78515,78891,CONTAINS,8,0.038385216,43
78515,78892,CONTAINS,9,0.035834596,42
78515,78893,CONTAINS,10,0.028719405,41
78515,78894,CONTAINS,11,0.025092408,40
78515,78895,CONTAINS,12,0.024398465,39
78515,78896,CONTAINS,13,0.021758161,38
78515,78897,CONTAINS,14,0.018473716,37
78515,78898,CONTAINS,15,0.016508173,36
78515,78899,CONTAINS,16,0.016346358,35
78515,78900,CONTAINS,17,0.015969932,34
78515,78901,CONTAINS,18,0.013275868,33
78515,78902,CONTAINS,19,0.01274881,32
78515,78903,CONTAINS,20,0.010101084,31
78515,78904,CONTAINS,21,0.009222198,30
78515,78845,CONTAINS,22,0.005700209,29
78515,78905,CONTAINS,23,0.0052145394,28
78515,78806,CONTAINS,24,0.0040747183,27
78515,78906,CONTAINS,25,0.0037997665,26
78515,78907,CONTAINS,26,0.0034807227,25
78515,78908,CONTAINS,27,0.003331901,24
78515,78909,CONTAINS,28,0.002481025,23
78515,78910,CONTAINS,29,0.002481025,22
78515,78635,CONTAINS,30,0.0023362937,21
78515,78911,CONTAINS,31,0.0022568274,20
78515,78912,CONTAINS,32,0.0022493917,19
78515,78913,CONTAINS,33,0.0022493917,18
78515,78914,CONTAINS,34,0.001997335,17
78515,78915,CONTAINS,35,0.0018561321,16
78515,78916,CONTAINS,36,0.0018086518,15
78515,78917,CONTAINS,37,0.0015858056,14
78515,78918,CONTAINS,38,0.0015147349,13
78515,78919,CONTAINS,39,0.0014774002,12
78515,78818,CONTAINS,40,0.0014644595,11
78515,78920,CONTAINS,42,0.0013184826,9
78515,78921,CONTAINS,43,0.0013047734,8
78515,78922,CONTAINS,44,0.0013047734,7
78515,78623,CONTAINS,45,0.00125409,6
78515,78923,CONTAINS,47,0.0011015752,4
78515,78924,CONTAINS,48,0.00108767,3
78515,78925,CONTAINS,49,0.00108767,2
78516,78608,CONTAINS,1,0.118740015,50
78516,78926,CONTAINS,2,0.05968339,49
78516,78635,CONTAINS,3,0.044924755,48
78516,78927,CONTAINS,4,0.03949691,47
78516,78928,CONTAINS,5,0.039313477,46
78516,78929,CONTAINS,6,0.03871603,45
78516,78930,CONTAINS,7,0.030983368,44
78516,78931,CONTAINS,8,0.025918724,43
78516,78932,CONTAINS,9,0.021546165,42
78516,78783,CONTAINS,10,0.020796666,41
78516,78933,CONTAINS,11,0.020439565,40
78516,78934,CONTAINS,12,0.019400971,39
78516,78935,CONTAINS,13,0.01762119,38
78516,78936,CONTAINS,14,0.016987002,37
78516,78937,CONTAINS,15,0.016987002,36
78516,78938,CONTAINS,16,0.016586738,35
78516,78939,CONTAINS,17,0.0148630515,34
78516,78940,CONTAINS,18,0.0148630515,33
78516,78941,CONTAINS,19,0.013209667,32
78516,78942,CONTAINS,20,0.01315759,31
78516,78943,CONTAINS,21,0.01315759,30
78516,78944,CONTAINS,22,0.013155786,29
78516,78732,CONTAINS,23,0.01106417,28
78516,78707,CONTAINS,24,0.009623985,27
78516,78945,CONTAINS,25,0.009623985,26
78516,78946,CONTAINS,26,0.009062158,25
78516,78947,CONTAINS,27,0.008289916,24
