"_id","_labels","body","name","phrase","pr0","pr1","pr2","pr3","processed","salience","url","_start","_end","_type","common","rank","score","weight"
"0",":Noun","","支援 親子","","2.7548698166893457E-5","4.4175421503670044E-5","5.1872231678930734E-5","2.1819288897423734E-5","","","",,,,,,,
"1",":Noun","","丸の内駅舎","","2.609876668442538E-5","4.185039931926636E-5","4.91421142221449E-5","2.0670905271243537E-5","","","",,,,,,,
"2",":Noun","","株式会社JR東日本クロスステーション デベロップメントカンパニー","","2.5373800943191347E-5","4.0687888227064516E-5","4.777705549375199E-5","2.009671345815344E-5","","","",,,,,,,
"3",":Noun","","サービス XR マーケティング・セールスプロモーション メタバース 地域創生・まちづくり コンテンツビジネス コラボレーション 大日本印刷株式会社","","2.0299040754553076E-5","3.2550310581651616E-5","3.82216443950016E-5","1.607737076652275E-5","","","",,,,,,,
"4",":Noun","","コイン","","3.926615119224083E-5","6.624032802540908E-5","6.364464722988486E-5","5.390959052034668E-5","","","",,,,,,,
"5",":Noun","","グランスタ","","1.812414353085096E-5","2.9062777305046084E-5","3.412646820982285E-5","1.4354795327252456E-5","","","",,,,,,,
"6",":Noun","","モチーフ","","1.7399177789616922E-5","2.790026621284424E-5","3.276140948142994E-5","1.3780603514162358E-5","","","",,,,,,,
"7",":Noun","","スポット","","1.6674212048382884E-5","2.6737755120642398E-5","3.1396350753037016E-5","1.320641170107226E-5","","","",,,,,,,
"8",":Noun","","JR東日本クロスステーション デベロップメントカンパニー","","1.4499314824680768E-5","2.325022184403687E-5","2.730117456785828E-5","1.1483836261801967E-5","","","",,,,,,,
"9",":Noun","","ブランディング","","4.254381724366631E-5","7.283617568242574E-5","6.560642170499911E-5","6.583685830235405E-5","","","",,,,,,,
"10",":Noun","","JR東日本グループ","","1.304938334221269E-5","2.092519965963318E-5","2.457105711107245E-5","1.0335452635621769E-5","","","",,,,,,,
"11",":Noun","","Beyond Stations構想","","7.249657412340384E-6","1.1625110922018435E-5","1.365058728392914E-5","5.741918130900983E-6","","","",,,,,,,
"12",":Noun","","コンセプト","","4.927177504733742E-5","4.6304345316288316E-5","5.372032643166158E-5","2.5667368644202438E-5","","","",,,,,,,
"13",":Noun","","ブロック","","4.3497944474042305E-6","6.97506655321106E-6","8.190352370357485E-6","3.4451508785405895E-6","","","",,,,,,,
"14",":Noun","","ファン同士","","2.1748972237021153E-6","3.48753327660553E-6","4.095176185178742E-6","1.7225754392702948E-6","","","",,,,,,,
"15",":Noun","","ミラノデザインウィーク","","1.7134448564471817E-5","2.2091357007695537E-5","3.429805754600756E-5","1.6296806498892854E-5","","","",,,,,,,
"16",":Noun","","Global Interior Trend 2023 from Milano Design Week","","1.6784765940707086E-5","2.1640512987130316E-5","3.359809718792578E-5","1.5964218611160348E-5","","","",,,,,,,
"17",":Noun","","CMF","","1.6435083316942356E-5","2.1189668966565106E-5","3.2898136829843994E-5","1.563163072342784E-5","","","",,,,,,,
"18",":Noun","","家具","","2.7862025578053024E-5","3.1391991066265714E-5","5.022929917803416E-5","2.314738790088466E-5","","","",,,,,,,
"19",":Noun","","カラー","","1.503635282188343E-5","1.9386292884304246E-5","3.0098295397516837E-5","1.4301279172497811E-5","","","",,,,,,,
"20",":Noun","","仕上げ","","1.433698757435397E-5","1.8484604843173818E-5","2.8698374681353267E-5","1.3636103397032797E-5","","","",,,,,,,
"21",":Noun","","フィニッシュ","","1.398730495058924E-5","1.80337608226086E-5","2.799841432327148E-5","1.3303515509300291E-5","","","",,,,,,,
"22",":Noun","","マテリアル","","1.3637622326824508E-5","1.7582916802043386E-5","2.729845396518969E-5","1.2970927621567785E-5","","","",,,,,,,
"23",":Noun","","セミナー","","1.3287939703059776E-5","1.713207278147817E-5","2.6598493607107904E-5","1.2638339733835273E-5","","","",,,,,,,
"24",":Noun","","動向","","1.2938257079295047E-5","1.6681228760912955E-5","2.5898533249026118E-5","1.2305751846102769E-5","","","",,,,,,,
"25",":Noun","","インテリアブランド","","1.2588574455530317E-5","1.6230384740347737E-5","2.519857289094433E-5","1.1973163958370261E-5","","","",,,,,,,
"26",":Noun","","Global Interior Trend 2023","","1.2238891831765584E-5","1.5779540719782527E-5","2.449861253286254E-5","1.1640576070637751E-5","","","",,,,,,,
"27",":Noun","","インテリアスタイル","","1.1189843960471391E-5","1.4427008658086881E-5","2.239873145861718E-5","1.064281240744023E-5","","","",,,,,,,
"28",":Noun","","インテリア","","1.0140796089177198E-5","1.3074476596391235E-5","2.0298850384371818E-5","9.645048744242712E-6","","","",,,,,,,
"29",":Noun","","デザインイベント","","9.791113465412465E-6","1.262363257582602E-5","1.9598890026290035E-5","9.312460856510202E-6","","","",,,,,,,
"30",":Noun","","木","","9.091748217883004E-6","1.172194453469559E-5","1.8198969310126458E-5","8.647285081045188E-6","","","",,,,,,,
"31",":Noun","","調査結果","","8.742065594118274E-6","1.1271100514130376E-5","1.749900895204467E-5","8.314697193312682E-6","","","",,,,,,,
"32",":Noun","","キッチン","","1.4920710224591372E-5","1.5938358976907206E-5","3.2511129046639E-5","1.1725940456247553E-5","","","",,,,,,,
"33",":Noun","","インテリア・コーディネート","","7.69301772282408E-6","9.91856845243473E-6","1.5399127877799315E-5","7.316933530115159E-6","","","",,,,,,,
