id,url,occupation,nationality,wikiid
Richard Nixon,https://en.wikipedia.org/wiki/Richard_Nixon,politician,United States of America,http://www.wikidata.org/entity/Q9588
John F. Kennedy,https://en.wikipedia.org/wiki/John_F._Kennedy,politician,United States of America,http://www.wikidata.org/entity/Q9696
George Pataki,https://en.wikipedia.org/wiki/George_Pataki,politician,United States of America,http://www.wikidata.org/entity/Q11676
Bill Clinton,https://en.wikipedia.org/wiki/Bill_Clinton,politician,United States of America,http://www.wikidata.org/entity/Q1124
Roy Walter Riehlman,https://en.wikipedia.org/wiki/R._Walter_Riehlman,politician,United States of America,http://www.wikidata.org/entity/Q93375
Thomas Jefferson,https://en.wikipedia.org/wiki/Thomas_Jefferson,politician,United States of America,http://www.wikidata.org/entity/Q11812
Gerald Ford,https://en.wikipedia.org/wiki/Gerald_Ford,politician,United States of America,http://www.wikidata.org/entity/Q9582
Lyndon B. Johnson,https://en.wikipedia.org/wiki/Lyndon_B._Johnson,politician,United States of America,http://www.wikidata.org/entity/Q9640
Sonia Sotomayor,https://en.wikipedia.org/wiki/Sonia_Sotomayor,politician,United States of America,http://www.wikidata.org/entity/Q11107
Deval Patrick,https://en.wikipedia.org/wiki/Deval_Patrick,politician,United States of America,http://www.wikidata.org/entity/Q11100
Hillary Clinton,https://en.wikipedia.org/wiki/Hillary_Clinton,politician,United States of America,http://www.wikidata.org/entity/Q6294
David Paterson,https://en.wikipedia.org/wiki/David_Paterson,politician,United States of America,http://www.wikidata.org/entity/Q11674
Andrew Cuomo,https://en.wikipedia.org/wiki/Andrew_Cuomo,politician,United States of America,http://www.wikidata.org/entity/Q11673
Jim Hodges,https://en.wikipedia.org/wiki/Jim_Hodges,politician,United States of America,http://www.wikidata.org/entity/Q11670
Mark Sanford,https://en.wikipedia.org/wiki/Mark_Sanford,politician,United States of America,http://www.wikidata.org/entity/Q11669
Barack Obama,https://en.wikipedia.org/wiki/Barack_Obama,politician,United States of America,http://www.wikidata.org/entity/Q76
George Washington,https://en.wikipedia.org/wiki/George_Washington,politician,United States of America,http://www.wikidata.org/entity/Q23
John McCain,https://en.wikipedia.org/wiki/John_McCain,politician,United States of America,http://www.wikidata.org/entity/Q10390
Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,politician,United States of America,http://www.wikidata.org/entity/Q9916
Abraham Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln,politician,United States of America,http://www.wikidata.org/entity/Q91
James Brown,https://en.wikipedia.org/wiki/James_Brown,politician,United States of America,http://www.wikidata.org/entity/Q5950
George W. Bush,https://en.wikipedia.org/wiki/George_W._Bush,politician,United States of America,http://www.wikidata.org/entity/Q207
Mitt Romney,https://en.wikipedia.org/wiki/Mitt_Romney,politician,United States of America,http://www.wikidata.org/entity/Q4496
Sandra Day O'Connor,https://en.wikipedia.org/wiki/Sandra_Day_O%27Connor,politician,United States of America,http://www.wikidata.org/entity/Q11132
Stephen Breyer,https://en.wikipedia.org/wiki/Stephen_Breyer,politician,United States of America,http://www.wikidata.org/entity/Q11124
Hiroshi Masuoka,https://en.wikipedia.org/wiki/Hiroshi_Masuoka_(rally_driver),engineer,Japan,http://www.wikidata.org/entity/Q254665
Takuya Kurosawa,https://en.wikipedia.org/wiki/Takuya_Kurosawa,engineer,Japan,http://www.wikidata.org/entity/Q252805
Yuhki Nakayama,https://en.wikipedia.org/wiki/Yuhki_Nakayama,engineer,Japan,http://www.wikidata.org/entity/Q250847
Naoko Yamazaki,https://en.wikipedia.org/wiki/Naoko_Yamazaki,engineer,Japan,http://www.wikidata.org/entity/Q232692
Genichi Taguchi,https://en.wikipedia.org/wiki/Genichi_Taguchi,engineer,Japan,http://www.wikidata.org/entity/Q201416
Mikimoto Kōkichi,https://en.wikipedia.org/wiki/Kokichi_Mikimoto,engineer,Japan,http://www.wikidata.org/entity/Q956283
Ryo Kawasaki,https://en.wikipedia.org/wiki/Ryo_Kawasaki,engineer,Japan,http://www.wikidata.org/entity/Q948561
Joi Ito,https://en.wikipedia.org/wiki/Joi_Ito,engineer,Japan,http://www.wikidata.org/entity/Q934616
Shintaro Uda,https://en.wikipedia.org/wiki/Shintaro_Uda,engineer,Japan,http://www.wikidata.org/entity/Q933177
Satoru Iwata,https://en.wikipedia.org/wiki/Satoru_Iwata,engineer,Japan,http://www.wikidata.org/entity/Q316013
Sōichirō Honda,https://en.wikipedia.org/wiki/Soichiro_Honda,engineer,Japan,http://www.wikidata.org/entity/Q313304
Soichi Noguchi,https://en.wikipedia.org/wiki/Soichi_Noguchi,engineer,Japan,http://www.wikidata.org/entity/Q357450
Masaru Ibuka,https://en.wikipedia.org/wiki/Masaru_Ibuka,engineer,Japan,http://www.wikidata.org/entity/Q352496
Shinichiro Sakurai,https://en.wikipedia.org/wiki/Shinichiro_Sakurai,engineer,Japan,http://www.wikidata.org/entity/Q5513101
Furuichi Kōi,https://en.wikipedia.org/wiki/Furuichi_K%C5%8Di,engineer,Japan,http://www.wikidata.org/entity/Q5509794
Fumitada Itakura,https://en.wikipedia.org/wiki/Fumitada_Itakura,engineer,Japan,http://www.wikidata.org/entity/Q5508598
