id,url,occupation,wikiid
Jo Mihaly,https://en.wikipedia.org/wiki/Jo_Mihaly,politician,http://www.wikidata.org/entity/Q96329
Ole von Beust,https://en.wikipedia.org/wiki/Ole_von_Beust,politician,http://www.wikidata.org/entity/Q60426
Franz Gürtner,https://en.wikipedia.org/wiki/Franz_G%C3%BCrtner,politician,http://www.wikidata.org/entity/Q60420
John Locke,https://en.wikipedia.org/wiki/John_Locke,politician,http://www.wikidata.org/entity/Q9353
Chang Wanquan,https://en.wikipedia.org/wiki/Chang_Wanquan,politician,http://www.wikidata.org/entity/Q27503
Francisco de Paula Martínez de la Rosa y Berdejo,https://en.wikipedia.org/wiki/Francisco_Mart%C3%ADnez_de_la_Rosa,politician,http://www.wikidata.org/entity/Q27357
Bernard Chrzanowski,https://en.wikipedia.org/wiki/Bernard_Chrzanowski,politician,http://www.wikidata.org/entity/Q95884
Kurt Wünsche,https://en.wikipedia.org/wiki/Kurt_W%C3%BCnsche,politician,http://www.wikidata.org/entity/Q95881
Erich Emminger,https://en.wikipedia.org/wiki/Erich_Emminger,politician,http://www.wikidata.org/entity/Q95872
Wilhelm Hammann,https://en.wikipedia.org/wiki/Wilhelm_Hammann,politician,http://www.wikidata.org/entity/Q95868
Philipp Wilhelm Jung,https://en.wikipedia.org/wiki/Philipp_Wilhelm_Jung,politician,http://www.wikidata.org/entity/Q95865
Werner Eggerath,https://en.wikipedia.org/wiki/Werner_Eggerath,politician,http://www.wikidata.org/entity/Q95861
"Ramon Berenguer II, Count of Barcelona","https://en.wikipedia.org/wiki/Ramon_Berenguer_II,_Count_of_Barcelona",politician,http://www.wikidata.org/entity/Q60943
Henry IV,"https://en.wikipedia.org/wiki/Henry_IV,_Holy_Roman_Emperor",politician,http://www.wikidata.org/entity/Q60094
Camilo Cienfuegos,https://en.wikipedia.org/wiki/Camilo_Cienfuegos,politician,http://www.wikidata.org/entity/Q26853
Mikhail Bakunin,https://en.wikipedia.org/wiki/Mikhail_Bakunin,politician,http://www.wikidata.org/entity/Q27645
Ulrich Rülein von Calw,https://en.wikipedia.org/wiki/Ulrich_R%C3%BClein_von_Calw,politician,http://www.wikidata.org/entity/Q95994
Hermann Maaß,https://en.wikipedia.org/wiki/Hermann_Maa%C3%9F,politician,http://www.wikidata.org/entity/Q95985
Johannes von Miquel,https://en.wikipedia.org/wiki/Johannes_von_Miquel,politician,http://www.wikidata.org/entity/Q63882
"Thomas Osborne, 4th Duke of Leeds","https://en.wikipedia.org/wiki/Thomas_Osborne,_4th_Duke_of_Leeds",politician,http://www.wikidata.org/entity/Q59400
Guy Victor Molinari,https://en.wikipedia.org/wiki/Guy_Molinari,politician,http://www.wikidata.org/entity/Q59335
Patrick Leahy,https://en.wikipedia.org/wiki/Patrick_Leahy,politician,http://www.wikidata.org/entity/Q59315
Rudolf Oeser,https://en.wikipedia.org/wiki/Rudolf_Oeser,politician,http://www.wikidata.org/entity/Q95909
Richard Hüttig,https://en.wikipedia.org/wiki/Richard_H%C3%BCttig,politician,http://www.wikidata.org/entity/Q95908
Willy Leow,https://en.wikipedia.org/wiki/Willy_Leow,politician,http://www.wikidata.org/entity/Q95899
Wilhelm Knabe,https://en.wikipedia.org/wiki/Wilhelm_Knabe,politician,http://www.wikidata.org/entity/Q95926
Nikolaus von Maillot de la Treille,https://en.wikipedia.org/wiki/Nikolaus_von_Maillot_de_la_Treille,politician,http://www.wikidata.org/entity/Q95914
Melchior von Diepenbrock,https://en.wikipedia.org/wiki/Melchior_von_Diepenbrock,politician,http://www.wikidata.org/entity/Q63833
Hafizullah Amin,https://en.wikipedia.org/wiki/Hafizullah_Amin,politician,http://www.wikidata.org/entity/Q63831
Rudolf Scharping,https://en.wikipedia.org/wiki/Rudolf_Scharping,politician,http://www.wikidata.org/entity/Q61321
Christian Friedrich Schönbein,https://en.wikipedia.org/wiki/Christian_Friedrich_Sch%C3%B6nbein,politician,http://www.wikidata.org/entity/Q61319
Sun Yuanheng,https://en.wikipedia.org/wiki/Sun_Yuanheng,politician,http://www.wikidata.org/entity/Q26983
Pei Xingben,https://en.wikipedia.org/wiki/Pei_Xingben,politician,http://www.wikidata.org/entity/Q26973
Muhammad bin Sabah Al-Sabah,https://en.wikipedia.org/wiki/Muhammad_bin_Sabah_Al-Sabah,politician,http://www.wikidata.org/entity/Q26926
Sabah I bin Jaber,https://en.wikipedia.org/wiki/Sabah_I_bin_Jaber,politician,http://www.wikidata.org/entity/Q26922
Jaber II Al-Sabah,https://en.wikipedia.org/wiki/Jaber_II_Al-Sabah,politician,http://www.wikidata.org/entity/Q26919
Ilka Schröder,https://en.wikipedia.org/wiki/Ilka_Schr%C3%B6der,politician,http://www.wikidata.org/entity/Q96081
Christel Fiebiger,https://en.wikipedia.org/wiki/Christel_Fiebiger,politician,http://www.wikidata.org/entity/Q96075
Werner Kollath,https://en.wikipedia.org/wiki/Werner_Kollath,politician,http://www.wikidata.org/entity/Q96071
Carl Hueter,https://en.wikipedia.org/wiki/Carl_Hueter,politician,http://www.wikidata.org/entity/Q96064
